chainId,roundId,roundName,roundType,roundProgramContractAddress,roundToken,roundAmountUSD,roundMatchAmt,roundMatchAmtUSD,roundUniqueContributors,roundVotes,roundMetaPtr,roundStartTime,roundEndTime,roundCreatedAtBlock,roundUpdatedAtBlock,roundEligibilityDescription,roundEligibilityRquirements,roundApplicationMetaPtr,roundApplicationsStartTime,roundApplicationsEndTime
42161,0x88fc9D6695bEdD34bbBE4ea0e2510573200713c7,Arbitrum One Test Round,public,0x0feb59d556d7cec7f3eccfa8a6abae54af73609a,0x0000000000000000000000000000000000000000,8.06929266,1000000000000000,1.70580267,4,10,bafkreihi6yxflbytgt5xf45opnq2exm7d2brxvogxwc4vbvabhphq54ppi,1693411260,1716854400,126426547,126426547,Testing Arbitrum One,be cool,bafkreieauiqvbkcxfcbixbi2xtafubzdb266npf6uig62nlrh4mxuqzvo4,1693411200,1716854400
42161,0x4abC6F3322158bcEC933f18998709322de7152c2,Linnie Franey,public,0x0feb59d556d7cec7f3eccfa8a6abae54af73609a,0x912ce59144191c1204e64559fe8253a0e49e6548,0,1000000000000000000,0.94459576,0,0,bafkreiehbzdni27uo2f4mlcgmfra6jd5ab4mls6m2veiyqqx2kzrohq4gy,1693494060,1716944400,126726329,126726329,IDK,be cool,bafkreifl5x2jblato7ppmjmmnuf4ekndza2vyms2wzehf7xzhjtm6ts4ai,1693494000,1716944400
42161,0x64896b6e2E65BBd9c3bB2415f884B651Eb9159A0,Michelle's Test Round,private,0x7f8b509c6c4ba65ba1339e8351d54c0a3d60bf5b,0x912ce59144191c1204e64559fe8253a0e49e6548,4.84443044,10000000000000000000,9.0296941,2,5,bafkreigdi4qvw4ry7gsbzcik3flhhivwj27saybtw6pkrummcx257otutu,1693587600,1693958400,127083138,127083138,test description,test eligibility requirement 1,bafkreifrnkquusifzvfctn25joytp77azjgvhr26opzz324j5xgz2kahlq,1693587600,1693958400
42161,0x0BbD781509C0aC5DCf9f4d7884Dc080931AE22df,GS Test Arbitrum Round,private,0x235010cbd0c0742df2b371dd87bb66650ddc5de0,0x912ce59144191c1204e64559fe8253a0e49e6548,0.04845888,10000000000000000000,8.7803985,1,3,bafkreiabxbp57tinbifanwk2nkcssoylil5226leh4vutbzodz2joinghm,1693596900,1694217600,127119840,127119840,test description,,bafkreicsey2jcxbdp5xlixdxhmz32s5dlhciokfm7bytvvxbryypzuqur4,1693596900,1694217600
42161,0xf0100e1e9AF27DB6057CDf053Fd58045AF78A8EE,July Testing Round,private,0x235010cbd0c0742df2b371dd87bb66650ddc5de0,0x912ce59144191c1204e64559fe8253a0e49e6548,0,10000000000000000000,8.7918113,0,0,bafkreif6tyxwxllalngwgibgkrhz3kucjatmfmnicno34dyhx4xdkzf5ty,1694476800,1695081600,127129058,127129058,"Focused on collaboration between the coffee community, Ethereum, and Flow",Must ahve shipped an ethereum app,bafkreifvyxw5rl7dy6ue6m2lcumku22kghc3euajvff6bfora4o5owtpsi,1693861200,1695081600
42161,0xdc7Bedf056792E8acF5730d69fEc1cc8d6E11C65,Test Round 2 ,private,0x235010cbd0c0742df2b371dd87bb66650ddc5de0,0x912ce59144191c1204e64559fe8253a0e49e6548,0,100000000000000000000,87.918113,0,0,bafkreigolvq4rrxbywqtze46rji4tryuedbc565zpjjt6z57y43oqmdzju,1693602000,1694217600,127129068,127129068,test description,"test eligibility requirement 1
test eligibility requirement 2
test eligibility requirement 3",bafkreiftua7g4e3ah36nyq3yezb5czedoglfe4wl3d3l5syeum46cz2nh4,1693602000,1694217600
42161,0x8B70206844630d8C0a2a545e92D3C8D46a3CeaaD,The New protocol ideas Round,public,0xce06ebb79f95943ca9125b85ca0294c302e846b5,0x912ce59144191c1204e64559fe8253a0e49e6548,4831.974312589979,50000000000000000000000,44628.3125,708,1873,bafkreihu2lbbc3d7ao6b5zyrspnw4zasujw4fh33d5cjexwwgcxcdw3uvy,1695124800,1696118340,128021876,128021876,"The round focuses on supporting people or organizations that want to take Arbitrum to the next level. The goal is to encourage & support more contributors to propose and run experiments for improving the Arbitrum protocol and also develop novel protocol ideas on Arbitrum. Do you think that your protocol idea can grow into the next Uniswap, ENS? Or are you more interested in decentralized governance ? MEV? Well, it doesn't matter which of these is it, this round is for you! We truly believe that new protocol ideas can propel the Arbitrum ecosystem forward!  New protocol ideas on Arbitrum = 💙","Projects in this domain should introduce novel blockchain protocols, consensus mechanisms, or architectural enhancements. Clear documentation outlining the proposed protocol's technical details and potential benefits is required. 
Demonstrating the feasibility and potential impact of the new protocol through simulations or prototypes is preferred. The project should address potential challenges, risks, and mitigation strategies. 
Projects should introduce a technically innovative solution that addresses existing limitations or challenges in the blockchain space. Protocols that ensure a high degree of decentralization and propose mechanisms for effective on-chain governance are highly encouraged
Join our telegram group for chat about the round with the fellow grant creators: https://t.me/ArbitrumonGitcoinGrantsFEST",bafkreigfui2nojw54xkigbtfmbavrrkfeiqusdhn6khrdxy5tfqzzsnfla,1693854000,1696032000
42161,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD,The Developer tooling on Nova Round,public,0xce06ebb79f95943ca9125b85ca0294c302e846b5,0x912ce59144191c1204e64559fe8253a0e49e6548,1805.897551839993,24000000000000000000000,21489.0468,475,1086,bafkreibdosg6y6xijdre5ezt7ulgizuaagnpmkrphgq3wvojxrkuqecra4,1695124800,1696118340,128025746,128025746,We wouldn't be here without the tools we have developed over time and the Arbitrum community acknowledges the importance of developer tooling ! This round is all about supporting those amazing devs that build developer tooling on Nova.  Your skills can help the future builders of the Arbitrum ecosystem by building tools that cater to its growing user base.  Developer tooling on Nova = 💙,"The project must be primarily focused on creating helpful developer tooling and experiences within the Arbitrum ecosystem. Projects must address pain points related to smart contract development, debugging, testing, or deployment. 
Emphasis should be placed on interoperability with existing Ethereum/Arbitrum developer tools and services. 
Open-source and collaborative development approaches are very encouraged
Join our telegram group for support, info and to chat: https://t.me/ArbitrumonGitcoinGrantsFEST",bafkreib7jdrp2hp4y6wcli5oae2vj7dncjpjtysa3hqdt4765uk5l2lqtq,1693854000,1696032000
42161,0xD0a086C37Fbd20C44F3Ba2CFF69208D1B62F54e3,The Gaming Round,public,0xce06ebb79f95943ca9125b85ca0294c302e846b5,0x912ce59144191c1204e64559fe8253a0e49e6548,4093.743048500001,14500000000000000000000,12982.965775,700,1751,bafkreiaclgdclgw6ndirgu3ckwfqyv4lsruvr4bxmoe2fewqnn46o26ta4,1695124800,1696118340,128028529,128028529,"This round is all about supporting builders to create innovative games and gaming experiences in the Arbitrum ecosystem. Gaming is a great way to help onboard new users to the ecosystem in a fun way. The improved scalability, reduced costs, faster transactions, and a better user experience make Arbitrum attractive for gamers and game developers  alike!   Gaming on Arbitrum = 💙","The project must be primarily focused on gaming and build on Arbitrum. Projects should propose innovative gaming solutions that leverage the scalability and efficiency of Arbitrum. 
Demonstrable progress towards creating a functional gaming product or platform is required. The project must have a well-defined gameplay concept and mechanics. 
Integration of decentralized technologies like NFTs and blockchain-based rewards would be amazing 
Join our telegram group for chat about the round with the fellow grant creators: https://t.me/ArbitrumonGitcoinGrantsFEST",bafkreibzsfzelncu4rasrrrdkwe4wgy44fsoj6lrllgkzb2pjz64w6kiwy,1693854000,1696118340
42161,0x59D79b22595B17AF659Ce9b03907615F53742C57,"The Education, community growth & events Round",public,0xce06ebb79f95943ca9125b85ca0294c302e846b5,0x912ce59144191c1204e64559fe8253a0e49e6548,3760.8175765599967,12500000000000000000000,11192.211875,599,1465,bafkreib3rncpvpoclsqd5vjfog33hx3yvoge6s7oafhkujaskwoz5moezi,1695124800,1696118340,128029764,128029764," Education is always important isn’t it? This round focuses on those creators that want to educate, grow and organize events for the Arbitrum community. This will help Arbitrum attract quality builders and members through community growth activities such as education courses, bootcamps, hackathons and by sponsoring events. Creative educational approaches are encouraged! Education on Arbitrum =💙","Projects must aim to enhance education or knowledge-sharing about the Arbitrum ecosystem. Ideally projects should also be build on Arbitrum or Arbitrum Nova(if possible). 
 Clear objectives for improving access to education, learning outcomes, or educational content should be outlined. 
Examples of projects suitable for this round: E-learning platforms, Certification systems, Creating new communities, Providing quality educational resources,  Creating quality content (youtube tutorials, newsletters, blog posts, podcasts, etc), Protecting users by investigating bad actors DAOs focused on socialization, Creative ideas to onboard new users, Hosting fun/educational/relevant events for the Arbitrum community
Join our telegram group for chat about the round with the fellow grant creators : https://t.me/ArbitrumonGitcoinGrantsFEST",bafkreieckuq6cc34axn2nsimzqj44wq4p464groaqpf43b5kgensygspje,1693854000,1696118340
